# Matter power spectrum P(k) at redshift z=0
# for k=1.04892e-05 to 5.37537 h/Mpc,
# number of wavenumbers equal to 556
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.357027228074e-02       2.393347080884e+04 
       1.369978842280e-02       2.397396576270e+04 
       1.382934093736e-02       2.401238741135e+04 
       1.395892994401e-02       2.404876687730e+04 
       1.408855558531e-02       2.408312289292e+04 
       1.421821802647e-02       2.411547070637e+04 
       1.434791745497e-02       2.414585293728e+04 
       1.447765408030e-02       2.417427854982e+04 
       1.460742813370e-02       2.420079002060e+04 
       1.473723986792e-02       2.422539981359e+04 
       1.486708955701e-02       2.424813416416e+04 
       1.499697749616e-02       2.426902626970e+04 
       1.512690400154e-02       2.428808580313e+04 
       1.525686941022e-02       2.430534288777e+04 
       1.538687408002e-02       2.432082265594e+04 
       1.551691838946e-02       2.433454553188e+04 
       1.564700273771e-02       2.434653974303e+04 
       1.577712754459e-02       2.435681977071e+04 
       1.590729325052e-02       2.436541836217e+04 
       1.603750031657e-02       2.437235303783e+04 
       1.616774922447e-02       2.437763844174e+04 
       1.629804047669e-02       2.438130476326e+04 
       1.642837459651e-02       2.438337216483e+04 
       1.655875212809e-02       2.438387270634e+04 
       1.668917363663e-02       2.438280616111e+04 
       1.681963970845e-02       2.438021202186e+04 
       1.695015095119e-02       2.437612364336e+04 
       1.708070799392e-02       2.437052758841e+04 
       1.721131148738e-02       2.436347051875e+04 
       1.734196210413e-02       2.435494688454e+04 
       1.747266053882e-02       2.434500981417e+04 
       1.760340750837e-02       2.433366998663e+04 
       1.773420375228e-02       2.432093376874e+04 
       1.786505003285e-02       2.430683422702e+04 
       1.799594713549e-02       2.429138866727e+04 
       1.812689586900e-02       2.427462675177e+04 
       1.825789706593e-02       2.425653477510e+04 
       1.838895158288e-02       2.423715505648e+04 
       1.852006030084e-02       2.421652568365e+04 
       1.865122412560e-02       2.419463414892e+04 
       1.878244398812e-02       2.417153883617e+04 
       1.891372084491e-02       2.414718183855e+04 
       1.904505567847e-02       2.412168110069e+04 
       1.917644949775e-02       2.409498801478e+04 
       1.930790333854e-02       2.406712649628e+04 
       1.943941826401e-02       2.403817131041e+04 
       1.957099536516e-02       2.400807138381e+04 
       1.970263576135e-02       2.397686643875e+04 
       1.983434060082e-02       2.394458177424e+04 
       1.996611106124e-02       2.391124506778e+04 
       2.009794835025e-02       2.387686790833e+04 
       2.022985370611e-02       2.384146915017e+04 
       2.036182839823e-02       2.380506162065e+04 
       2.049387372785e-02       2.376762599171e+04 
       2.062599102867e-02       2.372925560188e+04 
       2.075818166752e-02       2.368991478744e+04 
       2.089044704505e-02       2.364961981683e+04 
       2.102278859644e-02       2.360841324026e+04 
       2.115520779216e-02       2.356633402565e+04 
       2.128770613869e-02       2.352328006646e+04 
       2.142028517935e-02       2.347943595111e+04 
       2.155294649507e-02       2.343470542193e+04 
       2.168569170526e-02       2.338912618138e+04 
       2.181852246864e-02       2.334278363589e+04 
       2.195144048416e-02       2.329554441355e+04 
       2.208444749190e-02       2.324756821043e+04 
       2.221754527401e-02       2.319878000117e+04 
       2.235073565571e-02       2.314923556617e+04 
       2.248402050625e-02       2.309892708954e+04 
       2.261740174001e-02       2.304792863181e+04 
       2.275088131753e-02       2.299617063455e+04 
       2.288446124660e-02       2.294373405496e+04 
       2.301814358343e-02       2.289064555568e+04 
       2.315193043382e-02       2.283684325781e+04 
       2.328582395435e-02       2.278238010722e+04 
       2.341982635364e-02       2.272727236455e+04 
       2.355393989365e-02       2.267146692373e+04 
       2.368816689097e-02       2.261516452826e+04 
       2.382250971825e-02       2.255817916633e+04 
       2.395697080554e-02       2.250065341662e+04 
       2.409155264182e-02       2.244250597820e+04 
       2.422625777645e-02       2.238382675276e+04 
       2.436108882077e-02       2.232459090491e+04 
       2.449604844966e-02       2.226478235336e+04 
       2.463113940323e-02       2.220444439879e+04 
       2.476636448851e-02       2.214360778051e+04 
       2.490172658121e-02       2.208232868115e+04 
       2.503722862758e-02       2.202047880303e+04 
       2.517287364624e-02       2.195821383316e+04 
       2.530866473017e-02       2.189545115331e+04 
       2.544460504870e-02       2.183228853494e+04 
       2.558069784959e-02       2.176864684136e+04 
       2.571694646117e-02       2.170452620491e+04 
       2.585335429456e-02       2.164005070166e+04 
       2.598992484600e-02       2.157515268607e+04 
       2.612666169917e-02       2.150989000288e+04 
       2.626356852769e-02       2.144411183449e+04 
       2.640064909762e-02       2.137819481161e+04 
       2.653790727013e-02       2.131180681536e+04 
       2.667534700419e-02       2.124508770723e+04 
       2.681297235941e-02       2.117797362803e+04 
       2.695078749893e-02       2.111057051656e+04 
       2.708879669248e-02       2.104284951429e+04 
       2.722700431946e-02       2.097485064224e+04 
       2.736541487222e-02       2.090650662962e+04 
       2.750403295942e-02       2.083789797769e+04 
       2.764286330949e-02       2.076901318539e+04 
       2.778191077427e-02       2.069986638834e+04 
       2.792118033275e-02       2.063047943007e+04 
       2.806067709494e-02       2.056076511404e+04 
       2.820040630593e-02       2.049090419437e+04 
       2.834037335008e-02       2.042077076100e+04 
       2.848058375534e-02       2.035041820721e+04 
